Date,Type,ISIN,Quantity,Unit_EUR,Price_EUR,FX_Rate,FXCCY,Total (EUR),Currency,UnitPrice,Currency Value,Description,Order ID,UnitPrice_Native
13/11/2017,Buy,GB0006731235,7,21.4285714285714,21.4285714285714,1.140909989807870,GBP,150.0,GBP,18.782,131.474,Buy 7 GB0006731235 @18.782 GBP,IMPORT-0001,18.782
13/11/2017,Buy,GB00B1Z4ST84,170,4.64441176470588,4.64441176470588,0.6830017301038060,GBP,789.55,GBP,6.8,680.0,Buy 170 GB00B1Z4ST84 @6.8 GBP,IMPORT-0002,6.8
13/11/2017,Buy,IE00BD1RP616,210,5.5,5.5,1.0,EUR,1155.0,EUR,5.5,1155.0,Buy 210 IE00BD1RP616 @5.5 EUR,IMPORT-0003,5.5
13/11/2017,Buy,IE00BYTBXV33,235,13.6650212765957,13.6650212765957,1.0000015570139600,EUR,3211.28,EUR,13.665,3211.275,Buy 235 IE00BYTBXV33 @13.665 EUR,IMPORT-0004,13.665
13/11/2017,Buy,US01609W1027,7,164.67,164.67,1.0000000000000000,USD,1152.69,USD,164.67,1152.69,Buy 7 US01609W1027 @164.67 USD,IMPORT-0005,164.67
13/11/2017,Buy,US0162551016,6,190.671666666667,190.671666666667,0.8627677224736050,USD,1144.03,USD,221.0,1341.0,Buy 6 US0162551016 @221.0 USD,IMPORT-0006,221.0
13/11/2017,Buy,US0378331005,7,128.571428571429,128.571428571429,0.8759465088665250,USD,900.0,USD,146.78,1027.46,Buy 7 US0378331005 @146.78 USD,IMPORT-0007,146.78
13/11/2017,Buy,US2546871060,11,106.183636363636,106.183636363636,0.9653057851239670,USD,1168.02,USD,110.0,1210.0,Buy 11 US2546871060 @110.0 USD,IMPORT-0008,110.0
13/11/2017,Buy,US30303M1027,4,142.575,142.575,0.9438927507447860,USD,570.3,USD,151.05,604.2,Buy 4 US30303M1027 @151.05 USD,IMPORT-0009,151.05
13/11/2017,Buy,US6541061031,13,43.8461538461538,43.8461538461538,0.8472686733556300,USD,570.0,USD,51.75,672.75,Buy 13 US6541061031 @51.75 USD,IMPORT-0010,51.75
13/11/2017,Buy,US8522341036,18,61.1111111111111,61.1111111111111,0.9777777777777780,USD,1100.0,USD,62.5,1140.0,Buy 18 US8522341036 @62.5 USD,IMPORT-0011,62.5
13/11/2017,Buy,US87918A1051,20,53.4905,53.4905,0.8423700787401580,USD,1069.81,USD,63.5,1285.0,Buy 20 US87918A1051 @63.5 USD,IMPORT-0012,63.5
13/11/2017,Buy,US90184L1026,41,38.7892682926829,38.7892682926829,1.3216105040096400,USD,1590.36,USD,29.35,1761.0,Buy 41 US90184L1026 @29.35 USD,IMPORT-0013,29.35
13/11/2017,Buy,US9224751084,10,59.83,59.83,0.9422047244094490,USD,598.3,USD,63.5,635.0,Buy 10 US9224751084 @63.5 USD,IMPORT-0014,63.5
13/11/2017,Buy,US92826C8394,7,77.1428571428571,77.1428571428571,0.8459574201431860,USD,540.0,USD,91.19,638.33,Buy 7 US92826C8394 @91.19 USD,IMPORT-0015,91.19
13/11/2017,Buy,CA82509L1076,6,85.8983333333333,85.8983333333333,0.9533666296707360,USD,515.39,USD,90.1,540.1,Buy 6 CA82509L1076 @90.1 USD,IMPORT-0016,90.1
25/06/2019,Buy,Freetrade1,262,0.956004,0.956004,,,282.66,,,,,,
25/06/2019,Buy,Freetrade1,120,2.51,2.51,,,336.86,,,,,,
22/07/2020,Buy,Freetrade1,44,9.25,9.25,,,484.00,,,,,,
22/06/2023,Buy,Freetrade1,193,2.60,2.60,,,550.00,,,,,,
31/03/2025,Sell,Freetrade1,619,1.205,1.205,,,874.00,,,,,,
21/04/2020,Buy,Brewdog1,7,30,30,,,210.00,,,,,,
02/03/2026,Sell,Brewdog1,7,0,0,,,0.00,,,,,,
05/04/2022,Buy,Unknown1,241,3.116,3.116,,,750.96,,,,,,
21/10/2021,Buy,MyWallSt,62,9.7927,9.7927,,,607.15,,,,,,
