Date,Type,ISIN,Quantity,Unit_EUR,Price_EUR,FX_Rate,FXCCY,Total (EUR),Currency,UnitPrice,Currency Value,Description,Order ID
13/11/2019,Buy,GB0006731235,7,21.4285714285714,,,,150.0,GBP,18.782,131.474,Buy 7 GB0006731235 @18.782 GBP,IMPORT-0001
13/11/2019,Buy,GB00B1Z4ST84,170,4.64441176470588,,,,789.55,GBP,6.8,680.0,Buy 170 GB00B1Z4ST84 @6.8 GBP,IMPORT-0002
13/11/2019,Buy,IE00BD1RP616,210,5.5,,,,1155.0,EUR,5.5,1155.0,Buy 210 IE00BD1RP616 @5.5 EUR,IMPORT-0003
13/11/2019,Buy,IE00BYTBXV33,235,13.6650212765957,,,,3211.28,EUR,13.665,3211.275,Buy 235 IE00BYTBXV33 @13.665 EUR,IMPORT-0004
13/11/2019,Buy,US01609W1027,7,164.67,,,,1152.69,USD,164.67,1152.69,Buy 7 US01609W1027 @164.67 USD,IMPORT-0005
13/11/2019,Buy,US0162551016,6,190.671666666667,,,,1144.03,USD,221.0,1341.0,Buy 6 US0162551016 @221.0 USD,IMPORT-0006
13/11/2019,Buy,US0378331005,7,128.571428571429,,,,900.0,USD,146.78,1027.46,Buy 7 US0378331005 @146.78 USD,IMPORT-0007
13/11/2019,Buy,US2546871060,11,106.183636363636,,,,1168.02,USD,110.0,1210.0,Buy 11 US2546871060 @110.0 USD,IMPORT-0008
13/11/2019,Buy,US30303M1027,4,142.575,,,,570.3,USD,151.05,604.2,Buy 4 US30303M1027 @151.05 USD,IMPORT-0009
13/11/2019,Buy,US6541061031,13,43.8461538461538,,,,570.0,USD,51.75,672.75,Buy 13 US6541061031 @51.75 USD,IMPORT-0010
13/11/2019,Buy,US8522341036,18,61.1111111111111,,,,1100.0,USD,62.5,1140.0,Buy 18 US8522341036 @62.5 USD,IMPORT-0011
13/11/2019,Buy,US87918A1051,20,53.4905,,,,1069.81,USD,63.5,1285.0,Buy 20 US87918A1051 @63.5 USD,IMPORT-0012
13/11/2019,Buy,US90184L1026,41,38.7892682926829,,,,1590.36,USD,29.35,1761.0,Buy 41 US90184L1026 @29.35 USD,IMPORT-0013
13/11/2019,Buy,US9224751084,10,59.83,,,,598.3,USD,63.5,635.0,Buy 10 US9224751084 @63.5 USD,IMPORT-0014
13/11/2019,Buy,US92826C8394,7,77.1428571428571,,,,540.0,USD,91.19,638.33,Buy 7 US92826C8394 @91.19 USD,IMPORT-0015
13/11/2019,Buy,CA82509L1076,6,85.8983333333333,,,,515.39,USD,90.1,540.1,Buy 6 CA82509L1076 @90.1 USD,IMPORT-0016
